company_id,company_name,company_profile_url,country,city,address,website,phone,contact_person,contact_designation,member_status,member_since,verified,verification_details,legal_entity,established_year,primary_business,role,products_listed_count,deal_focus,description,search_terms,category_types,search_tab,scrape_date
1220347,Yatai Chemical S/B,https://www.go4worldbusiness.com/member/view/1220347/yatai-chemical-s-b.html,Malaysia,Petaling Jaya,"Suite B -09-08 Tower B, Jalan Pju 1/39 Dataran Prima Petaling Jaya 47301 Selangor Malaysia",http://www.yataichemical.com,NULL,Kimmy Teo,Marketing Director,Premium,"January, 2014",NULL,NULL,Yatai Chemical S/B,NULL,Manufacturer/ OEM,Supplier,27,"Sells Mono ammonium phosphate, mono potassium phosphate and calcium nitrate","Yatai Chemical S/B is a junior supplier from Petaling Jaya, Malaysia. They are a manufacturer/oem specializing in mono ammonium phosphate, mono potassium phosphate, calcium nitrate and potassium nitrate. They list 27 products.",ATP Adenosine Triphosphate Disodium; Gum Acacia Soluble Fibre; Acai Berry Fruit Juice Powder; Acerola Cherry Fruit Juice Extract; Acesulfame-K; Adipic Acid; Agaricus Blazei Mushroom Fungus Fruiting Body Powder; Agarikon Mushroom Fungus Fruiting Body Powder Polysaccharides,ATP; Acacia Fiber; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Acesulfame; Adipic Acid; Agaricus Extract & Products; Agarikon Extract & Products,suppliers,2026-07-20
944980,Enagic Inc.,https://www.go4worldbusiness.com/member/view/944980/enagic-inc-.html,Malaysia,Sydney,Sydney Sydney 2113 Malaysia,http://jordanstreet.kangendemo.com,NULL,Jordan Street,Director,Premium,"October, 2010",NULL,NULL,Enagic Inc.,2008,Distributor,Supplier,3,NULL,"Enagic Inc. is a junior supplier from Sydney, Malaysia. They are a distributor specializing in ionized water ionizer. Founded in 2008, they report annual sales of USD 5 million to USD 15 million. They list 3 products.",ATP Adenosine Triphosphate Disodium,ATP,suppliers,2026-07-20
1527582,Golden Print Head,https://www.go4worldbusiness.com/member/view/1527582/golden-print-head.html,Malaysia,NULL,No.37 Jalan Utama Sr1/7 Serdang Raya Malaysia 43300 Selangor Malaysia,http://www.goldenprinthead.com,NULL,Edward Chow,NULL,GOLD,"November, 2017",NULL,NULL,Golden Print Head,2012,Manufacturer/ OEM,Buyer and Supplier,8,Sells Printer | Buys Printer,"Golden Print Head is a junior buyer and supplier from Malaysia, Malaysia. They are a manufacturer/oem specializing in printers. They are a manufacturer/oem for printer. Founded in 2012. They list 8 products.",ATP Adenosine Triphosphate Disodium,ATP,suppliers,2026-07-20
3517782,Lee Chuan Guan Steel Sdn Bhd,https://www.go4worldbusiness.com/member/view/3517782/lee-chuan-guan-steel-sdn-bhd.html,Malaysia,Johor Bahru,"Plo 132 Jalan Angkasa Mas Utama, Kawasan Perindustrian Tebrau 2 Johor Bahru 81100 Johor Malaysia",http://www.lcgjapmas.com,NULL,Asyiqin,Sales Engineer,Premium,"January, 2022",yes,Company Registration Certificate Verified,Lee Chuan Guan Steel Sdn Bhd,1982,Manufacturer/ OEM,Supplier,7,NULL,"Lee Chuan Guan Steel Sdn Bhd is a junior supplier from Johor Bahru, Malaysia. They are a manufacturer/oem specializing in steel products, steel sheets, steel coils and steel plates. Founded in 1982, they report annual sales of more than USD 100 million. They are ISO9001 certified. They list 7 products.",Gum Acacia Soluble Fibre; Acerola Cherry Fruit Fibre,Acacia Fiber; Acerola Cherry Extract & Products,suppliers,2026-07-20
4473223,RBC Trading,https://www.go4worldbusiness.com/member/view/4473223/rbc-trading.html,Malaysia,Kota Bharu,"Kampung Sirih, 15150 Kota Bharu, Kelantan, Malaysia. Kota Bharu 15150 Kelantan Malaysia",http://rbctradings.com,NULL,Ramona Binti Nizam,Director,GOLD,"July, 2025",yes,Company Registration Certificate Verified,RBC Trading,2021,Service Provider,Supplier and Service Provider,7,NULL,"RBC Trading is a gold supplier and service provider from Kota Bharu, Malaysia. They are a service provider specializing in petroleum coke, copper concentrate, zinc concentrate and liquefied natural gas. They provide services such as trading. Founded in 2021, they report annual sales of USD 250,000 to USD 1 million. They are RBC Trading certified. They list 7 products.",Gum Acacia Soluble Fibre; Acai Berry Fruit Extract; Acai Berry Fruit Powder; Acerola Cherry Fruit Fibre; Acesulfame-K; Ajwain Seed Extract,Acacia Fiber; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Acesulfame; Ajwain Extract & Products,suppliers,2026-07-20
2736738,Sterimed Sdn Bhd,https://www.go4worldbusiness.com/member/view/2736738/sterimed-sdn-bhd.html,Malaysia,Kuala Lumpur,"24 Jalan Mutiara 1, Taman Mutiara Barat Kuala Lumpur 56000 W. Persekutuan Malaysia",http://www.sterimed.com.my,NULL,Thomas Cheong,Director,GOLD,"November, 2019",NULL,NULL,Sterimed Sdn Bhd,2002,Dealer / Reseller,NULL,NULL,NULL,"Sterimed Sdn Bhd is a gold buyer and supplier from Kuala Lumpur, Malaysia. They are a dealer/reseller specializing in latex based products: latex examination gloves, surgical gloves, household gloves and pvc and leather gloves. They are a dealer/reseller for dried sea cucumbers, fish maws, seaweed and sulphur granules. Founded in 2002, they report annual sales of USD 5 million to USD 15 million. They are 568957P...",Gum Acacia Soluble Fibre; Acai Berry Fruit Extract; Acai Berry Fruit Powder; Adipic Acid; Agnus Castus Extract; Agnus Castus Extract Agnusides; Agnus Castus Powder; Agrimony Tops Extract; Hairy Agrimony Herb Powder; Ajwain Seed Extract; Akarkara Root Powder; Alder Buckthorn Bark Extract; Alder Buckthorn Bark Powder; Alfalfa Extract; Alfalfa Juice Powder Gluten Free; Alfalfa Leaf Powder Gluten Free; Alfalfa Powder,Acacia Fiber; Acai Berry Extract & Products; Adipic Acid; Agnus Castus Extract & Products; Agrimony Extract & Products; Ajwain Extract & Products; Akarkara Extract & Products; Alder Buckthorn Extract & Products; Alfalfa Extract & Products,suppliers,2026-07-20
3083856,Axtrium Sdn Bhd,https://www.go4worldbusiness.com/member/view/3083856/axtrium-sdn-bhd.html,Malaysia,Kuala Lumpur,"B-06-06, Gateway Kiaramas (Corporate Suites),1, Jalan Desa Kiara Kuala Lumpur 50480 Mont Kiara Malaysia",https://www.go4worldbusiness.com/member/view/3083856/axtrium-sdn-bhd.html,NULL,Douglass Phang,Managing Director,Premium,"October, 2020",NULL,NULL,Axtrium Sdn Bhd,2015,Distributor,Buyer and Supplier,37,NULL,"Axtrium Sdn Bhd is a junior buyer and supplier from Kuala Lumpur, Malaysia. They are a distributor specializing in fish & seafood, palm oil based products, red palm olein and refined palm oil. They are a distributor for palm oil, sugar, chicken and meat. Founded in 2015, they report annual sales of USD 1 million to USD 5 million. They are Axtrium Sdn Bhd certified. They list 37 products.",Gum Acacia Soluble Fibre; Acerola Cherry Fruit Fibre; Adipic Acid; Agnus Castus Extract; Agnus Castus Extract Agnusides; Agrimony Tops Extract; Ajwain Seed Extract; Alder Buckthorn Bark Extract; Alfalfa Extract,Acacia Fiber; Acerola Cherry Extract & Products; Adipic Acid; Agnus Castus Extract & Products; Agrimony Extract & Products; Ajwain Extract & Products; Alder Buckthorn Extract & Products; Alfalfa Extract & Products,suppliers,2026-07-20
3038129,D-jah Corporation Sdn Bhd,https://www.go4worldbusiness.com/member/view/3038129/d-jah-corporation-sdn-bhd.html,Malaysia,Johor bahru,"No 20 A, Jalan Uda Utama 4/1, Bandar Uda Utama Johor Bahru 81200 Johor Malaysia",http://www.djahcorp.com,NULL,Datuk Haji Mohd Najib Alwi,Managing Director,Premium,"August, 2020",yes,Company Registration Certificate Verified,D-jah Corporation Sdn Bhd,2000,Dealer / Reseller,Supplier,6,Sells 1. nitrile examination powder free gloves from manufacturer in malaysia. 2. latex examination powder free gloves and 3. isolation gown with fda 4. hand sanitizer and disinfectant spray,"D-jah Corporation Sdn Bhd is a junior supplier from Johor bahru, Malaysia. They are a dealer/reseller specializing in 1. nitrile examination powder free gloves from manufacturer in malaysia. 2. latex examination powder free gloves and 3. isolation gown with fda 4. hand sanitizer and disinfectant spray. Founded in 2000, they report annual sales of USD 1 million to USD 5 million. They list 6 products.",Gum Acacia Soluble Fibre; Acerola Cherry Fruit Fibre; Alfalfa Juice Powder Gluten Free; Alfalfa Leaf Powder Gluten Free,Acacia Fiber; Acerola Cherry Extract & Products; Alfalfa Extract & Products,suppliers,2026-07-20
1492917,Golden Gates Global SDN BHD,https://www.go4worldbusiness.com/member/view/1492917/golden-gates-global-sdn-bhd.html,Malaysia,Pj,Tropicana Avenue PJ 474800 Selangor Malaysia,https://www.go4worldbusiness.com/member/view/1492917/golden-gates-global-sdn-bhd.html,NULL,Ahmed,Marketing Director,GOLD,"July, 2017",NULL,NULL,Golden Gates Global SDN BHD,2013,Distributor,Supplier,1,Sells Coconut oil,"Golden Gates Global SDN BHD is a junior supplier from Pj, Malaysia. They are a distributor specializing in coconut oil. Founded in 2013. They list 1 product.",Gum Acacia Soluble Fibre,Acacia Fiber,suppliers,2026-07-20
915504,Fidelio International Sdn Bhd,https://www.go4worldbusiness.com/member/view/915504/fidelio-international-sdn-bhd.html,Malaysia,Kuala Lumpur,"Unit 8.06, Level 8, Menara Pj Amcorp Trade Centre No 18 Persiaran Barat Petaling Jaya Kuala Lumpur 46050 Selangor Malaysia",http://www.fideliointernational.com,NULL,Ms Vettina,Senior Business Development,Premium,"July, 2010",NULL,NULL,Fidelio International Sdn Bhd,1996,Manufacturer/ OEM,Buyer and Supplier,16,"Sells Nitrile gloves, hygiene range of dispenser & soap dispenser and hygiene products such as brooms | Buys Nitrile gloves, hygiene range of dispenser & soap dispenser and hygiene products such as brooms","Fidelio International Sdn Bhd is a junior buyer and supplier from Kuala Lumpur, Malaysia. They are a manufacturer/oem specializing in nitrile gloves, hygiene range of dispenser & soap dispenser, hygiene products such as brooms and softies. They are a manufacturer/oem for nitrile gloves, hygiene range of dispenser & soap dispenser, hygiene products such as brooms and softies. Founded in 1996. They list 16 products.",Gum Acacia Soluble Fibre; Acerola Cherry Fruit Fibre; Agnus Castus Extract; Agnus Castus Extract Agnusides; Agrimony Tops Extract; Alder Buckthorn Bark Extract; Alfalfa Extract,Acacia Fiber; Acerola Cherry Extract & Products; Agnus Castus Extract & Products; Agrimony Extract & Products; Alder Buckthorn Extract & Products; Alfalfa Extract & Products,suppliers,2026-07-20
