company_id,company_name,company_profile_url,country,city,address,website,phone,contact_person,contact_designation,member_status,member_since,verified,verification_details,legal_entity,established_year,primary_business,role,products_listed_count,deal_focus,description,search_terms,category_types,search_tab,scrape_date
2927241,"Thai Foods Product International Co.,ltd",https://www.go4worldbusiness.com/member/view/2927241/thai-foods-product-international-co-ltd.html,Thailand,Minburi,91/38-39 Suwinthawong Rd. Minburi 10510 Bangkok Thailand,https://www.go4worldbusiness.com/member/view/2927241/thai-foods-product-international-co-ltd.html,NULL,Pratoom Puttra,Export Manager,Premium,"May, 2020",NULL,NULL,"Thai Foods Product International Co.,ltd",2000,Manufacturer/ OEM,Supplier,37,Sells 1. food ingredient and food additive 1.1 non dairy creamer 1.2 coconut milk powder 1.3 condensed milk powder 1.4 dried mango 1.5 monosodium glutamate 1.6 ribonucleotide i+g 1.7 fructose syrup 1.8 non phosphate (food grade) 1.9 blended phosphate (food grade) 1.10 durian powder 1.11 white sugar replacer 1.12 fresh milk powder 1.13 instant mixed fruit punch powder 2. dairy products 2.1 childrenÃ??Ã?Â¢??s milk powder 2.2 instant cocoa malt powder beverage 2.3 whipping cream powder 3. 3.1 curcumin capsules 3.2 diabetic control tea 3.3 mushroom 4.beauty product 4.1 acne clearing and whitening gel,"Thai Foods Product International Co.,ltd is a junior supplier from Minburi, Thailand. They are a manufacturer/oem specializing in 1. food ingredient and food additive 1.1 non dairy creamer 1.2 coconut milk powder 1.3 condensed milk powder 1.4 dried mango 1.5 monosodium glutamate 1.6 ribonucleotide i+g 1.7 fructose syrup 1.8 non phosphate (food grade) 1.9 blended phosphate (food grade) 1.10 durian powder 1.11 white...",ATP Adenosine Triphosphate Disodium,ATP,suppliers,2026-07-20
3490565,Goodganic Thailand,https://www.go4worldbusiness.com/member/view/3490565/goodganic-thailand.html,Thailand,Bangbo,"363/1 Moo1 Bangbo Subdistrict, Bangbo Distriict, Samut Prakan 10560 Thailand Bangbo 10560 Samutprakan Thailand",http://www.goodganicthailand.com,NULL,Tammasorn Jiwarangsan,Ceo,Premium,"December, 2021",yes,Company Registration Certificate Verified,Goodganic Thailand,2015,Manufacturer/ OEM,Supplier,29,NULL,"Goodganic Thailand is a junior supplier from Bangbo, Thailand. They are a manufacturer/oem specializing in facial cream, body lotion, sunscreen and herbal toothpaste. and also we produce herbal natural extracts. Founded in 2015, they report annual sales of USD 1 million to USD 5 million. They are GMP, ISO and CFS certificates certified. They list 29 products.",ATP Adenosine Triphosphate Disodium; Gum Acacia Soluble Fibre; Acai Berry Fruit Extract; Acai Berry Fruit Juice Powder; Acerola Cherry Fruit Fibre; Acerola Cherry Fruit Juice Powder; Adipic Acid,ATP; Acacia Fiber; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Adipic Acid,suppliers,2026-07-20
3355168,Vicenta (thailand) Company Limited,https://www.go4worldbusiness.com/member/view/3355168/vicenta-%28thailand%29-company-limited.html,Thailand,Ranong,"109/98 M.1 Saphanpla Rd., Muang, Ranong, 85000 Thailand Ranong 85000 Thailand",http://www.vicenta.co.th,NULL,Sorrawee Phak.,Managing Director,Premium,"July, 2021",yes,Company Registration Certificate Verified,Vicenta (thailand) Company Limited,2018,Distributor,Supplier and Service Provider,65,"Sells Cocoa drink, rubinite energy drink and agar wood soap | Services Trader, distributor and wholesaler","Vicenta (thailand) Company Limited is a junior supplier and service provider from Ranong, Thailand. They are a distributor specializing in cocoa drink, rubinite energy drink, agar wood soap and honey shower gel. They provide services such as trader, distributor and wholesaler. Founded in 2018, they report annual sales of around USD 250,000. They list 65 products.",ATP Adenosine Triphosphate Disodium; Acai Berry Fruit Extract; Acai Berry Fruit Powder; Acerola Cherry Fruit Fibre; Acerola Cherry Fruit Juice Extract; Acerola Cherry Fruit Juice Powder; Adipic Acid; Agar Agar,ATP; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Adipic Acid; Agar Agar,suppliers,2026-07-20
1404798,"Atp Global Service Co., Ltd.",https://www.go4worldbusiness.com/member/view/1404798/atp-global-service-co-ltd-.html,Thailand,Bangkok,"109/13 Chareon Krung 65, Yannawa, Sathor Bangkok 10120 Thailand",https://www.go4worldbusiness.com/member/view/1404798/atp-global-service-co-ltd-.html,NULL,Champ T,Project Development,Premium,"May, 2016",NULL,NULL,"Atp Global Service Co., Ltd.",NULL,Dealer / Reseller,Supplier and Service Provider,NULL,"Sells Wood pellets, wood chips and tapioca chip | Services Logistic services","Atp Global Service Co., Ltd. is a junior supplier and service provider from Bangkok, Thailand. They are a dealer/reseller specializing in wood pellets, wood chips, tapioca chip and agriculture products. They provide services such as logistic services. They report annual sales of USD 5 million to USD 15 million.",ATP Adenosine Triphosphate Disodium,ATP,suppliers,2026-07-20
1854677,Vyntheda,https://www.go4worldbusiness.com/member/view/1854677/vyntheda.html,Thailand,Chumphon,"32/4 Moo7 Bangluek Mueng Chumphon Thailand, 86000 Chumphon 86000 Mueng Thailand",https://www.go4worldbusiness.com/member/view/1854677/vyntheda.html,NULL,Wiparat Ponsab,Owner,Premium,"August, 2019",NULL,NULL,Vyntheda,7,Manufacturer/ OEM,Supplier,5,NULL,"Vyntheda is a junior supplier from Chumphon, Thailand. They are a manufacturer/oem specializing in tamarind scrub soap, natural product skin care, rice scrub and star fruit salt scrub. Founded in 7, they report annual sales of around USD 250,000. They are BSI 9002 and Organic Certificated certified. They list 5 products.",ATP Adenosine Triphosphate Disodium,ATP,suppliers,2026-07-20
3312996,Jumbo Trading Company Limited,https://www.go4worldbusiness.com/member/view/3312996/jumbo-trading-company-limited.html,Thailand,Bangkok,"4388/1 Soi Farmwattana, Rama 4 Road Bangkok 10110 Krung Thep Maha Nakhon Thailand",http://www.jumbo-th.com,NULL,Dr. Sagid,Director,Premium,"May, 2021",yes,NULL,Jumbo Trading Company Limited,1996,Manufacturer/ OEM,Supplier,31,NULL,"Jumbo Trading Company Limited is a junior supplier from Bangkok, Thailand. They are a manufacturer/oem specializing in gum arabic, raw cotton, white sesame and peanuts seeds. Founded in 1996, they report annual sales of USD 1 million to USD 5 million. They are 241529410001 certified. They list 31 products.",Gum Acacia Soluble Fibre; Adipic Acid,Acacia Fiber; Adipic Acid,suppliers,2026-07-20
1805234,"Khumsub Asia Goods Trading Co., Ltd.",https://www.go4worldbusiness.com/member/view/1805234/khumsub-asia-goods-trading-co-ltd-.html,Thailand,Bangkok,"Phromphan Tower 3, 14Th Floor Unit Number 1410-1414, Lad Phrao Rd. Soi 3, Chom Phon, Chatuchak, Bangkok, 10900, Thailand Bangkok 10900 Thailand",http://www.khumsubtrading.com,NULL,Sukrutai Ninnet,Sales Director,Premium,"July, 2019",yes,Company Registration Certificate Verified,"Khumsub Asia Goods Trading Co., Ltd.",2017,Service Provider,Supplier and Service Provider,290,"Sells Canned fish, canned fruits and dried fruits | Services Sourcing","Khumsub Asia Goods Trading Co., Ltd. is a junior supplier and service provider from Bangkok, Thailand. They are a service provider specializing in canned fish, canned fruits, dried fruits and groceries. They provide services such as sourcing. Founded in 2017, they report annual sales of USD 5 million to USD 15 million. They list 290 products.",Gum Acacia Soluble Fibre; Acai Berry Fruit Extract; Acai Berry Fruit Juice Powder; Acai Berry Fruit Powder; Acerola Cherry Fruit Fibre; Acerola Cherry Fruit Juice Extract; Acerola Cherry Fruit Juice Powder; Adipic Acid,Acacia Fiber; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Adipic Acid,suppliers,2026-07-20
1522145,"S.f.m. International Trading Co., Ltd.",https://www.go4worldbusiness.com/member/view/1522145/s-f-m-international-trading-co-ltd-.html,Thailand,Amphoe Bang Phli,"79/208 Moo 19, Thepharak Road, Tambon Bang Phli Yai Amphoe Bang Phli 10540 Samut Prakarn Thailand",http://www.siamfreshmarket.com,NULL,Nithinunt Botcharoen,Manager,Premium,"October, 2017",yes,Company Registration Certificate Verified,"S.f.m. International Trading Co., Ltd.",2015,Manufacturer/ OEM,Supplier and Service Provider,152,"Sells Fresh vegetables: baby corn, lemongrass and ginger | Services Export","S.f.m. International Trading Co., Ltd. is a junior supplier and service provider from Amphoe Bang Phli, Thailand. They are a manufacturer/oem specializing in fresh vegetables: baby corn, lemongrass, ginger and fingerroot. They provide services such as export. Founded in 2015. They are GMP/HACCP and SEDEX certified. They list 152 products.",Gum Acacia Soluble Fibre; Acai Berry Fruit Extract; Acai Berry Fruit Juice Powder; Acai Berry Fruit Powder; Acerola Cherry Fruit Fibre; Acerola Cherry Fruit Juice Extract; Acerola Cherry Fruit Juice Powder; Acesulfame-K; Agaricus Blazei Murill Mushroom Fungus Fruiting Body Extract,Acacia Fiber; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Acesulfame; Agaricus Extract & Products,suppliers,2026-07-20
1282909,"World Furnitrade Co., Ltd.",https://www.go4worldbusiness.com/member/view/1282909/world-furnitrade-co-ltd-.html,Thailand,Bangkok,"World Furnitrade Co., Ltd. 46/32 Soi Nimitmai 40, East Samwa Sub-district, Klongsamwa District Bangkok 10510 Thailand",https://www.go4worldbusiness.com/member/view/1282909/world-furnitrade-co-ltd-.html,NULL,Nopparat Sangpitak,Owner,Premium,"September, 2014",NULL,NULL,"World Furnitrade Co., Ltd.",2007,Manufacturer/ OEM,Supplier,13,NULL,"World Furnitrade Co., Ltd. is a junior supplier from Bangkok, Thailand. They are a manufacturer/oem specializing in wooden furniture, wood pellet, wood chips and wood sawdust. Founded in 2007, they report annual sales of USD 1 million to USD 5 million. They list 13 products.",Gum Acacia Soluble Fibre,Acacia Fiber,suppliers,2026-07-20
1326966,Charinrat Kamjaroen,https://www.go4worldbusiness.com/member/view/1326966/charinrat-kamjaroen.html,Thailand,Hat Yai,90110 Hat Yai Hat Yai 90110 Thailand,https://www.go4worldbusiness.com/member/view/1326966/charinrat-kamjaroen.html,NULL,Charinrat,Manager,Premium,"May, 2015",NULL,NULL,Charinrat Kamjaroen,2002,Manufacturer/ OEM,Supplier,15,NULL,"Charinrat Kamjaroen is a junior supplier from Hat Yai, Thailand. They are a manufacturer/oem specializing in a4 copy paper, vegetable oil, sunflower oil and soybean oil. Founded in 2002, they report annual sales of USD 250,000 to USD 1 million. They list 15 products.",Gum Acacia Soluble Fibre,Acacia Fiber,suppliers,2026-07-20
