company_id,company_name,company_profile_url,country,city,address,website,phone,contact_person,contact_designation,member_status,member_since,verified,verification_details,legal_entity,established_year,primary_business,role,products_listed_count,deal_focus,description,search_terms,category_types,search_tab,scrape_date
1166108,Still Morris Consults Ltd.,https://www.go4worldbusiness.com/member/view/1166108/still-morris-consults-ltd-.html,Vietnam,IKEJA,"79/81 Trinity Mall, Obafemi Awolowo Way Ikeja 23401 Lagos Nigeria",http://www.stillmorris.com.ng,NULL,Babafemi E A,Managing Director,GOLD,"May, 2013",yes,VERIFIED Fetching... Verification Status Company Registration Certificate − Identity Proof Of Representative Company Address Proof − Trading License − Proof of Prior Export/Import − Proof of Product − Company Representative Verified on Video Call − Other Documents like Mandates and Certifications,Still Morris Consults Ltd.,2012,Service Provider,"Buyer, Supplier and Service Provider",13,"Sells Shea butter, sesame seeds and sorghum | Buys Sweet corn etc | Services Trade and export and value addition to agro commodity","Still Morris Consults Ltd. is a verified goldplus buyer, supplier and service provider from IKEJA, Nigeria. They are a service provider specializing in shea butter, sesame seeds, sorghum and moringa seed. They are a service provider for sweet corn etc. They provide services such as trade and export and value addition to agro commodity. Founded in 2012, they report annual sales of USD 5 million to USD 15 million...",Gum Acacia Soluble Fibre,Acacia Fiber,suppliers,2026-07-20
4565665,Dabelu Enterprises Limited,https://www.go4worldbusiness.com/member/view/4565665/dabelu-enterprises-limited.html,Vietnam,Nairobi,"Bethel Center Langata, Langata Road, Langata District, Nairobi, Kenya. Nairobi 10448 Kenya",https://dabeluenterprisesltd.com/,+254-117361052,Gladys Kwamboka,Sales Manager,GOLD,"November, 2025",yes,VERIFIED Fetching... Verification Status Company Registration Certificate Identity Proof Of Representative Company Address Proof − Trading License − Proof of Prior Export/Import Proof of Product − Company Representative Verified on Video Call − Other Documents like Mandates and Certifications −,Dabelu Enterprises Limited,2025,Manufacturer/ OEM,Supplier and Service Provider,223,NULL,"Dabelu Enterprises Limited is a verified goldplus supplier and service provider from Nairobi, Kenya. They are a manufacturer/oem specializing in premium products including cashew nuts, coffee, ginger and garlic. They provide services such as sourcing. Founded in 2025, they report annual sales of USD 5 million to USD 15 million. They are SGS, FDA, ISO, BV, HACCP, FTC, OC, RAC, UTZ and KEBS certified. They list 223...",Gum Acacia Soluble Fibre; Hairy Agrimony Herb Powder,Acacia Fiber; Agrimony Extract & Products,suppliers,2026-07-20
3564750,Blueline Worldwide Products LLC,https://www.go4worldbusiness.com/member/view/3564750/blueline-worldwide-products-llc.html,Vietnam,Muscat,"Po Box 2683, Pc 133, Zoha Noorah, Building No.1135, Way No.4508, 1St Floor, Suite No.115, Al Khuwair South, Muscat, Sultanate Of Oman Muscat 133 Muscat Oman",http://www.bluelineworldwide.com,NULL,Mohammed Afthar Hussain,Director,GOLD,"March, 2022",NULL,NULL,Blueline Worldwide Products LLC,2021,Manufacturer/ OEM,Buyer and Supplier,23,"Sells Steam dried fishmeal/crude fish oil /refined fish oil /fish soluble paste/shark liver oil/squalene oil/ crude shark liver oil/refined squalene oil/ crude squalene, spices and grains | Buys Steam dried fishmeal/crude fish oil /mines & minerals","Blueline Worldwide Products LLC is a gold buyer and supplier from Muscat, Oman. They are a manufacturer/oem specializing in steam dried fishmeal/crude fish oil/refined fish oil/fish soluble paste/shark liver oil/squalene oil/crude shark liver oil/refined squalene oil/crude squalene, spices, grains and sugar. They are a manufacturer/oem for steam dried fishmeal/crude fish oil/mines & minerals. Founded in 2021, they...",Gum Acacia Soluble Fibre,Acacia Fiber,suppliers,2026-07-20
1693444,F N F Exports,https://www.go4worldbusiness.com/member/view/1693444/f-n-f-exports.html,Vietnam,Colombo,279 1/2 R.a De. Mel Mawatha Colombo 03 Cmb Sri Lanka,http://www.fnfexports.com,+94-112-345-296,M. Faris Fuard,Director,GOLD,"January, 2019",NULL,NULL,F N F Exports,2003,Manufacturer/ OEM,Supplier and Service Provider,29,"Sells Coconut flour, coco peat grow bag and coconut fiber | Services Manufacture and exporter","F N F Exports is a gold supplier and service provider from Colombo, Sri Lanka. They are a manufacturer/oem specializing in coconut flour, coco peat grow bag, coconut fiber and coconut broom. They provide services such as manufacture and exporter. Founded in 2003, they report annual sales of USD 250,000 to USD 1 million. They list 29 products.",Gum Acacia Soluble Fibre; Acerola Cherry Fruit Fibre,Acacia Fiber; Acerola Cherry Extract & Products,suppliers,2026-07-20
1831337,99 Gold Data Processing Trading Company Limited,https://www.go4worldbusiness.com/member/view/1831337/99-gold-data-processing-trading-company-limited.html,Vietnam,Ho Chi Minh,"99d Street No.8, Truong Thanh Ward, District 9, Hcmc Ho Chi Minh 700000 Viet Nam",http://www.99golddata.com,NULL,Data Ph,General Manager,GOLD,"July, 2019",NULL,NULL,99 Gold Data Processing Trading Company Limited,2017,Manufacturer/ OEM,NULL,NULL,NULL,"99 Gold Data Processing Trading Company Limited is a gold buyer, supplier and service provider from Ho Chi Minh, Viet Nam. They are a manufacturer/oem specializing in coconut, coconut coir pot, coconut oil and rattan webbing. They are a manufacturer/oem for industrial machinery. They provide services such as oem, agency and commission broker. Founded in 2017, they report annual sales of around USD 250,000. They are...",Gum Acacia Soluble Fibre; Acai Berry Fruit Juice Powder; Acerola Cherry Fruit Juice Extract; Acerola Cherry Fruit Juice Powder; Agaricus Blazei Mushroom Fungus Fruiting Body Powder; Agarikon Mushroom Fungus Fruiting Body Powder Polysaccharides; Agnus Castus Powder; Hairy Agrimony Herb Powder,Acacia Fiber; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Agaricus Extract & Products; Agarikon Extract & Products; Agnus Castus Extract & Products; Agrimony Extract & Products,suppliers,2026-07-20
1597416,Namaskar SAC,https://www.go4worldbusiness.com/member/view/1597416/namaskar-sac.html,Vietnam,Lima,"Calle Martin De Murua 150, Oficina 807, San Miguel, Lima, Peru Lima Peru",http://www.agrilatin.com,NULL,Utsav Sharan,Head- International Sales,GOLD,"July, 2018",yes,Company Registration Certificate Verified,Namaskar SAC,2016,Manufacturer/ OEM,Supplier and Service Provider,197,NULL,"Namaskar SAC is a gold supplier and service provider from Lima, Peru. They are a manufacturer/oem specializing in chia seeds, chia oil, quinoa seeds and maca powder. They provide services such as fob, cnf cif and cfr. Founded in 2016, they report annual sales of USD 250,000 to USD 1 million. They are Agrilatin SAC certified. They list 197 products.",Acai Berry Fruit Extract; Acai Berry Fruit Juice Powder; Acai Berry Fruit Powder; Acerola Cherry Fruit Juice Powder; Agaricus Blazei Mushroom Fungus Fruiting Body Powder; Agarikon Mushroom Fungus Fruiting Body Powder Polysaccharides; Hairy Agrimony Herb Powder,Acai Berry Extract & Products; Acerola Cherry Extract & Products; Agaricus Extract & Products; Agarikon Extract & Products; Agrimony Extract & Products,suppliers,2026-07-20
4636475,Iazj Quality Growers Nv,https://www.go4worldbusiness.com/member/view/4636475/iazj-quality-growers-nv.html,Vietnam,Belem,"Tv Da Estrella 2321, Ed Jose Viana Belem 66080-471 PA Brazil",http://www.qualitygrowersnv.br.com,NULL,Simeon,Manager,GOLD,"February, 2026",yes,VERIFIED Fetching... Verification Status Company Registration Certificate Identity Proof Of Representative Company Address Proof Trading License − Proof of Prior Export/Import − Proof of Product − Company Representative Verified on Video Call − Other Documents like Mandates and Certifications −,Iazj Quality Growers Nv,2001,Dealer / Reseller,Supplier and Service Provider,35,"Sells Premium jambu extract, andiroba oil and cold pressed buriti oil | Services Sourcing, exporting and export logistics","Iazj Quality Growers Nv is a verified gold supplier and service provider from Belem, Brazil. They are a dealer/reseller specializing in premium jambu extract, andiroba oil, cold pressed buriti oil and cold pressed acai fruit oil. They provide services such as sourcing, exporting, export logistics and quality control. Founded in 2001. They list 35 products.",Acai Berry Fruit Extract; Acai Berry Fruit Powder,Acai Berry Extract & Products,suppliers,2026-07-20
4541485,Inca Phyto Eirl,https://www.go4worldbusiness.com/member/view/4541485/inca-phyto-eirl.html,Vietnam,Iquitos,"Calle Arica 419, Iquitos Iquitos 16000 Peru",https://incaphyto.com/,NULL,Andrea Marcon,Ceo,GOLD,"September, 2025",yes,VERIFIED Fetching... Verification Status Company Registration Certificate Identity Proof Of Representative Company Address Proof Trading License − Proof of Prior Export/Import Proof of Product − Company Representative Verified on Video Call − Other Documents like Mandates and Certifications −,Inca Phyto Eirl,2019,Distributor,Supplier,NULL,NULL,"Inca Phyto Eirl is a verified goldplus supplier from Iquitos, Peru. They are a distributor specializing in fresh fruits from peru, blueberries, avocado and mango. Founded in 2019, they report annual sales of USD 5 million to USD 15 million. They list 32 products.",Acai Berry Fruit Extract; Acai Berry Fruit Juice Powder; Acai Berry Fruit Powder; Agnus Castus Powder,Acai Berry Extract & Products; Agnus Castus Extract & Products,suppliers,2026-07-20
4581837,Brabah Alliance Importacao E Exportacao Ltda,https://www.go4worldbusiness.com/member/view/4581837/brabah-alliance-importacao-e-exportacao-ltda.html,Vietnam,Brazil,- - Brazil,https://www.go4worldbusiness.com/member/view/4581837/brabah-alliance-importacao-e-exportacao-ltda.html,+55-11959855061,Pamela Santana,Brazil,GOLD,"November, 2025",yes,Company Registration Certificate Verified,Brabah Alliance Importacao E Exportacao Ltda,2025,Dealer / Reseller,Supplier,8,NULL,"Brabah Alliance Importacao E Exportacao Ltda is a gold supplier from Brazil. They are a dealer/reseller specializing in green coffee beans (washed, grade a, various screen sizes). brazilian sugar and raw sugar (vhp. Founded in 2025, they report annual sales of USD 5 million to USD 15 million. They are 62.144.490/0001-57 certified. They list 8 products.",Acai Berry Fruit Extract; Acai Berry Fruit Powder,Acai Berry Extract & Products,suppliers,2026-07-20
1653408,"Huvy Export Import Co., Ltd.",https://www.go4worldbusiness.com/member/view/1653408/huvy-export-import-co-ltd-.html,Vietnam,Ho Chi Minh,"Floor 5Th, Songdo Buiding, 62 A Pham Ngoc Thach, Vo Thi Sau Ward , District 3 Ho Chi Minh 700000 Viet Nam",http://www.huvyexim.com.vn,+84-916-087209,Le Nguyen Quoc Hung,Ceo,GOLD,"November, 2018",yes,VERIFIED Fetching... Verification Status Company Registration Certificate Identity Proof Of Representative Company Address Proof − Trading License Proof of Prior Export/Import − Proof of Product − Company Representative Verified on Video Call − Other Documents like Mandates and Certifications −,"Huvy Export Import Co., Ltd.",2018,Dealer / Reseller,Supplier,1662,"Sells Dried anchovy fish, salted baby shrimps and fried fish maw","Huvy Export Import Co., Ltd. is a verified gold supplier from Ho Chi Minh, Viet Nam. They are a dealer/reseller specializing in dried anchovy fish, salted baby shrimps, fried fish maw and aluminium ingot. Founded in 2018, they report annual sales of USD 1 million to USD 5 million. They list 1662 products.",Acai Berry Fruit Juice Powder; Acerola Cherry Fruit Juice Extract; Acerola Cherry Fruit Juice Powder,Acai Berry Extract & Products; Acerola Cherry Extract & Products,suppliers,2026-07-20
